City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Makakilo City,US,74.19,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
5,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
6,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
9,Atuona,PF,78.3,broken clouds,-9.8,-139.0333,Villa Enata
11,Vaini,TO,75.11,overcast clouds,-21.2,-175.2,Keleti Beach Resort
12,Kapaa,US,74.48,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Hilo,US,75.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Broome,US,78.19,broken clouds,42.2506,-75.833,Chenango Valley State Park
16,Alugan,PH,79.79,overcast clouds,12.2188,125.4808,JM Lodge
17,Rikitea,PF,77.61,broken clouds,-23.1203,-134.9692,People ThankYou
21,Pochutla,MX,90.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
23,Stoughton,US,83.68,broken clouds,42.1251,-71.1023,Blue Hill Masonic Lodge
26,Saurimo,AO,75.79,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
27,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,San Patricio,US,90.07,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Anloga,GH,84.67,scattered clouds,5.7947,0.8973,Pin Drop Hotel
37,Mananjary,MG,72.3,broken clouds,-21.2167,48.3333,Vahiny Lodge
44,Jamestown,US,77.95,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Limoux,FR,77.5,broken clouds,42.9167,2.1667,Vayamundo l'Espinet
48,Hithadhoo,MV,83.01,scattered clouds,-0.6,73.0833,Scoop Guest House
50,Faanui,PF,81.21,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Cascais,PT,85.35,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
54,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
59,Ferrol,ES,74.35,broken clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
60,Roma,US,80.96,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
64,Boueni,YT,80.58,few clouds,-12.9025,45.0761,The feet in water
65,Saint George,US,71.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
67,Butaritari,KI,80.58,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
70,Isangel,VU,73.67,overcast clouds,-19.55,169.2667,Tanna Lodge
71,Sampit,ID,74.98,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
72,Castro,BR,71.33,clear sky,-24.7911,-50.0119,CHACARA BAILLY
77,Buala,SB,79.0,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
80,Manaure,CO,88.0,overcast clouds,11.7751,-72.4445,Hotel Palaaima
82,Marawi,PH,70.86,heavy intensity rain,7.9986,124.2928,Derogongan Residence
90,Amarante Do Maranhao,BR,85.17,light rain,-5.5667,-46.7422,Hotéis Caçulinha
92,Nosy Varika,MG,71.69,broken clouds,-20.5833,48.5333,Hotel Volazara
94,Panalingaan,PH,79.3,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
95,Albany,US,81.03,scattered clouds,42.6001,-73.9662,
96,Barcelona,ES,80.8,clear sky,41.3888,2.159,Axel Hotel Barcelona
99,Mitsamiouli,KM,79.97,clear sky,-11.3847,43.2844,Foyer ADM
