,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marystown,CA,47.1666,-55.1483,51.73,57,93,11.88,overcast clouds
1,Balakliya,UA,49.4627,36.8595,57.0,68,97,6.87,overcast clouds
2,Makakilo City,US,21.3469,-158.0858,74.19,77,100,0.0,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,43.21,98,100,3.69,light rain
4,Tari,NG,12.4086,4.4914,104.99,20,55,4.68,broken clouds
5,Avarua,CK,-21.2078,-159.775,80.65,94,75,5.75,broken clouds
6,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,4.61,scattered clouds
7,Coleraine,GB,55.1333,-6.6667,58.91,75,100,15.39,overcast clouds
8,Port Alfred,ZA,-33.5906,26.891,59.18,88,13,3.0,few clouds
9,Atuona,PF,-9.8,-139.0333,78.3,66,60,21.3,broken clouds
10,Bluff,NZ,-46.6,168.3333,52.81,90,100,13.69,moderate rain
11,Vaini,TO,-21.2,-175.2,75.11,59,100,23.04,overcast clouds
12,Kapaa,US,22.0752,-159.319,74.48,86,52,5.01,light rain
13,Barrow,US,71.2906,-156.7887,15.82,79,100,10.36,overcast clouds
14,Hilo,US,19.7297,-155.09,75.27,82,64,3.0,broken clouds
15,Broome,US,42.2506,-75.833,78.19,64,55,4.0,broken clouds
16,Alugan,PH,12.2188,125.4808,79.79,86,93,10.27,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,77.61,74,53,21.5,broken clouds
18,Huilong,CN,31.8111,121.655,58.93,78,39,7.81,scattered clouds
19,Hermanus,ZA,-34.4187,19.2345,57.79,73,58,10.71,broken clouds
20,Busselton,AU,-33.65,115.3333,59.45,69,86,14.07,overcast clouds
21,Pochutla,MX,15.7432,-96.4661,90.82,40,64,8.75,broken clouds
22,Deputatskiy,RU,69.3,139.9,13.35,95,100,2.77,light snow
23,Stoughton,US,42.1251,-71.1023,83.68,70,75,8.05,broken clouds
24,New Norfolk,AU,-42.7826,147.0587,55.92,84,86,2.17,light rain
25,Tuatapere,NZ,-46.1333,167.6833,51.15,95,100,6.6,light rain
26,Saurimo,AO,-9.6608,20.3916,75.79,45,54,3.02,broken clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,66,5.01,broken clouds
28,Mandalgovi,MN,45.7625,106.2708,42.57,34,12,7.4,few clouds
29,Khatanga,RU,71.9667,102.5,14.63,94,100,4.94,overcast clouds
30,Saskylakh,RU,71.9167,114.0833,10.33,97,95,7.85,overcast clouds
31,Lebu,CL,-37.6167,-73.65,53.91,59,29,15.7,scattered clouds
32,Acolla,PE,-11.7319,-75.5463,57.76,49,65,2.46,broken clouds
33,San Patricio,US,28.017,-97.5169,90.07,41,4,13.85,clear sky
34,Carnarvon,AU,-24.8667,113.6333,67.82,58,5,20.56,clear sky
35,Qaanaaq,GL,77.484,-69.3632,19.36,70,15,1.81,few clouds
36,Anloga,GH,5.7947,0.8973,84.67,74,43,15.43,scattered clouds
37,Mananjary,MG,-21.2167,48.3333,72.3,73,80,3.78,broken clouds
38,Bredasdorp,ZA,-34.5322,20.0403,58.66,63,56,12.71,broken clouds
39,Talnakh,RU,69.4865,88.3972,36.07,100,100,7.05,light rain
40,Kysyl-Syr,RU,63.8986,122.7617,28.08,86,95,11.95,light snow
41,Mar Del Plata,AR,-38.0023,-57.5575,59.95,78,100,11.01,moderate rain
42,Port Elizabeth,ZA,-33.918,25.5701,64.09,75,17,13.0,few clouds
43,Kidal,ML,18.4411,1.4078,105.1,4,8,4.32,clear sky
44,Jamestown,US,42.097,-79.2353,77.95,55,81,5.01,broken clouds
45,Limoux,FR,42.9167,2.1667,77.5,70,76,5.68,broken clouds
46,Kjopsvik,NO,68.097,16.3742,44.47,79,98,4.72,overcast clouds
47,Surt,LY,31.2089,16.5887,67.42,60,3,10.09,clear sky
48,Hithadhoo,MV,-0.6,73.0833,83.01,70,36,5.99,scattered clouds
49,Anadyr,RU,64.75,177.4833,30.27,94,93,6.49,overcast clouds
50,Faanui,PF,-16.4833,-151.75,81.21,71,18,16.98,light rain
51,Ilulissat,GL,69.2167,-51.1,24.82,74,75,13.8,light shower snow
52,Margate,GB,51.3813,1.3862,64.87,62,73,1.99,broken clouds
53,Cascais,PT,38.6979,-9.4215,85.35,34,0,9.22,clear sky
54,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,65,40,8.05,scattered clouds
55,Chuy,UY,-33.6971,-53.4616,64.99,54,30,5.01,scattered clouds
56,Kaitangata,NZ,-46.2817,169.8464,52.41,71,100,8.75,moderate rain
57,Beringovskiy,RU,63.05,179.3167,33.28,86,100,4.54,overcast clouds
58,Upernavik,GL,72.7868,-56.1549,19.04,80,31,4.54,scattered clouds
59,Ferrol,ES,43.4832,-8.2369,74.35,80,54,6.51,broken clouds
60,Roma,US,43.2128,-75.4557,80.96,57,48,1.99,scattered clouds
61,Rio Gallegos,AR,-51.6226,-69.2181,47.77,56,58,18.48,broken clouds
62,Priargunsk,RU,50.3691,119.1012,39.18,65,79,9.53,broken clouds
63,Mataura,NZ,-46.1927,168.8643,52.48,96,100,3.65,moderate rain
64,Boueni,YT,-12.9025,45.0761,80.58,68,18,5.86,few clouds
65,Saint George,US,37.1041,-113.5841,71.44,19,0,1.99,clear sky
66,Cabo San Lucas,MX,22.8909,-109.9124,86.61,67,6,1.01,clear sky
67,Butaritari,KI,3.0707,172.7902,80.58,75,100,10.49,overcast clouds
68,Flinders,AU,-34.5833,150.8552,64.18,93,63,4.0,broken clouds
69,Port Lincoln,AU,-34.7333,135.8667,64.4,84,100,20.65,overcast clouds
70,Isangel,VU,-19.55,169.2667,73.67,65,100,14.18,overcast clouds
71,Sampit,ID,-2.5333,112.95,74.98,97,83,1.23,broken clouds
72,Castro,BR,-24.7911,-50.0119,71.33,49,5,1.9,clear sky
73,Mortka,RU,59.3322,66.0214,57.92,54,100,9.48,overcast clouds
74,Bokovskaya,RU,49.229,41.8306,57.88,66,86,8.93,overcast clouds
75,Tasiilaq,GL,65.6145,-37.6368,33.96,50,31,1.19,scattered clouds
76,Provideniya,RU,64.3833,-173.3,33.66,71,6,3.67,clear sky
77,Buala,SB,-8.145,159.5921,79.0,81,17,2.06,few clouds
